,Review_Text,Review_Clean_List,Review_Clean
0,Benteng sejarah dari jaman belanda . Letaknya di makassar sulawesi selatan . Ada museum harga masuk terbilang murah,"['benteng', 'sejarah', 'jaman', 'belanda', 'letak', 'makassar', 'sulawesi', 'selatan', 'museum', 'harga', 'masuk', 'bilang', 'murah']",benteng sejarah jaman belanda letak makassar sulawesi selatan museum harga masuk bilang murah
1,spot favourite kalau ada tamu dari luar makassar saya ajak kesini. bersantai sambil belajar sejarah.,"['spot', 'favourite', 'tamu', 'makassar', 'ajak', 'kesini', 'santa', 'ajar', 'sejarah']",spot favourite tamu makassar ajak kesini santa ajar sejarah
2,"Salah satu peninggalan masa penjajahan belanda yaitu benteng rotterdam, di benteng ini bangunannya sangatlah terawat dan terdapat museum yang memamerkan benda pusaka","['salah', 'tinggal', 'jajah', 'belanda', 'benteng', 'rotterdam', 'benteng', 'bangun', 'awat', 'museum', 'pamer', 'benda', 'pusaka']",salah tinggal jajah belanda benteng rotterdam benteng bangun awat museum pamer benda pusaka
3,"Benteng Rotterdam merupakan salah satu peninggalan zaman penjajahan atau merupakan tempat bersejarah, dan benteng ini masih di lengkapi dengan barang yang bersejarah yang sangat antik, jadi buat kalian yang mau tau sejarah Indonesia khususnya di Sulawesi Selatan, silahkan datang langsung di Benteng Rotterdam, karena di sana kalian akan di pandu parah ahli sejarah yang the best ðâ¤ï¸","['benteng', 'rotterdam', 'rupa', 'salah', 'tinggal', 'zaman', 'jajah', 'rupa', 'sejarah', 'benteng', 'lengkap', 'barang', 'sejarah', 'antik', 'tau', 'sejarah', 'indonesia', 'khusus', 'sulawesi', 'selatan', 'silah', 'langsung', 'benteng', 'rotterdam', 'pandu', 'parah', 'ahli', 'sejarah', 'the', 'best']",benteng rotterdam rupa salah tinggal zaman jajah rupa sejarah benteng lengkap barang sejarah antik tau sejarah indonesia khusus sulawesi selatan silah langsung benteng rotterdam pandu parah ahli sejarah the best
4,"Liburan tidak perlu jauh-jauh di kota Makassar sendiri ada objek wisata sejarah yang bagus kita kunjungi bersama keluarga, Fort rotterdam, letaknya di tengah kota makassar, bangunan tua peninggalan belanda bisa kita temukan disini, yah sambil jalan-jalan kita bisa mengajarkan ke anak kita tentang sejarah","['libur', 'kota', 'makassar', 'objek', 'wisata', 'sejarah', 'bagus', 'kunjung', 'keluarga', 'fort', 'rotterdam', 'letak', 'kota', 'makassar', 'bangun', 'tua', 'tinggal', 'belanda', 'temu', 'yah', 'jalan', 'jalan', 'ajar', 'anak', 'sejarah']",libur kota makassar objek wisata sejarah bagus kunjung keluarga fort rotterdam letak kota makassar bangun tua tinggal belanda temu yah jalan jalan ajar anak sejarah
5,Kesan Tempo Dulu nya masih melekat sehingga bagi para Milineal maupun para wisatawan yg kangen akan masa lalunya dapat berimajinasi disini... Upaya Pemprov utk melestarikan peninggalan sejarah sangat dikagumi... Meskipun kesan mistis terkadang terlihat di malam hari namun sangat menggambarkan perjuangan rakyat Sulawesi Umumnya dan Makassar khususnya...,"['kesan', 'tempo', 'nya', 'lekat', 'milineal', 'wisatawan', 'yg', 'kangen', 'imajinasi', 'upaya', 'pemprov', 'utk', 'lestari', 'tinggal', 'sejarah', 'kagum', 'kesan', 'mistis', 'terkadang', 'lihat', 'malam', 'gambar', 'juang', 'rakyat', 'sulawesi', 'makassar', 'khusus']",kesan tempo nya lekat milineal wisatawan yg kangen imajinasi upaya pemprov utk lestari tinggal sejarah kagum kesan mistis terkadang lihat malam gambar juang rakyat sulawesi makassar khusus
6,"Kedua kali mengunjugi benteng Rotterdam. Kali ini bersama kedua anak saya yang sudah remaja. Mereka juga tampak menyenangi benteng ini. Terdapat pos di depan untuk absen, dan tidak dipungut biaya, namun saya membayar dengan suka rela. Di dalam benteng terdapat Museum La Galigo, biaya masuk cukup murah, ditemani guide lokal, kami menikmati museum. Sayangnya, guide meminta bayaran yang lebih dari perkiraan kami, karena museum sangat kecil dan sudah ada tarifnya. Mungkin perlu diperhatikan oleh pengelola Benteng Rotterdam. Pemeliharaan benteng ini perlu ditingkatkan lagi ","['kali', 'mengunjugi', 'benteng', 'rotterdam', 'kali', 'anak', 'remaja', 'nang', 'benteng', 'pos', 'absen', 'pungut', 'biaya', 'bayar', 'suka', 'rela', 'benteng', 'museum', 'la', 'galigo', 'biaya', 'masuk', 'murah', 'tani', 'guide', 'lokal', 'nikmat', 'museum', 'sayang', 'guide', 'bayar', 'museum', 'tarif', 'perhati', 'kelola', 'benteng', 'rotterdam', 'pelihara', 'benteng', 'tingkat']",kali mengunjugi benteng rotterdam kali anak remaja nang benteng pos absen pungut biaya bayar suka rela benteng museum la galigo biaya masuk murah tani guide lokal nikmat museum sayang guide bayar museum tarif perhati kelola benteng rotterdam pelihara benteng tingkat
7,"Salah satu ikon sejarah kota Makassar adalah Benteng Rotterdam. Kini, Benteng Rotterdam menjadi salah satu destinasi wisata paling popular di Makassar, baik bagi wisatawan asing maupun wisatawan lokal karena banyak spot spot kece buat foto foto selain itu di Benteng Rotterdam juga ada museum yang bisa disinggahi.Untuk kalian yang sedang berkunjung ke Makassar jangan lupa mampir ya... â¥ï¸","['salah', 'ikon', 'sejarah', 'kota', 'makassar', 'benteng', 'rotterdam', 'benteng', 'rotterdam', 'salah', 'destinasi', 'wisata', 'popular', 'makassar', 'wisatawan', 'asing', 'wisatawan', 'lokal', 'spot', 'spot', 'kece', 'foto', 'foto', 'benteng', 'rotterdam', 'museum', 'singgah', 'kunjung', 'makassar', 'lupa', 'mampir', 'ya']",salah ikon sejarah kota makassar benteng rotterdam benteng rotterdam salah destinasi wisata popular makassar wisatawan asing wisatawan lokal spot spot kece foto foto benteng rotterdam museum singgah kunjung makassar lupa mampir ya
8,"Bangunan ini sejatinya bangunan yang memiliki nilai sejarah yang sangat tinggi. Kita bisa belajar bagaimana perjuangan Sultan Hasanuddin dalam melawan penjajahan belanda, dan kita juga bisa belajar tentang kisah pangeran diponegoro yang dipenjara oleh belanda dalam benteng ini. Sy pribadi sangat mengagumi dan menaruh rasa hormat yang besar terhadap kedua tokoh pahlawan bangsa tersebut. Namun sayang memang, penghargaan terhadap tempat bersejarah ini sangatlah rendah menurut saya. Adanya coretan dan pemeliharaan museum serta ruang bersejarah lainnya masih belum bisa memuaskan saya. Benteng ini juga dijadikan kantor salah satu instansi pemerintah dan seringkali kendaraan yang mungkin milik orang kantor tsb parkir di area dalam benteng jadinya merusak pemandangan. Hal yang sangat menyebalkan bagi saya adalah disaat saya melihat lantai asli benteng ini diganti dengan keramik padahal lantai aslinya setau saya cukup kokoh. saya tidak tau apa alasan lantainya diganti, kalaulah alasan penggantiannya biar terkesan ""up to date"" maka itu menurut saya adalah sebuah keputusan yang sangat KELIRU. Maaf saya hanya kasih 2 bintang karena saya ingin tempat ini benar2 ditingkatkan kualitasnya sebagai objek sejarah yang mempunyai nilai tinggi dan layak mendapat 5 bintang.","['bangun', 'sejati', 'bangun', 'milik', 'nilai', 'sejarah', 'ajar', 'juang', 'sultan', 'hasanuddin', 'lawan', 'jajah', 'belanda', 'ajar', 'kisah', 'pangeran', 'diponegoro', 'penjara', 'belanda', 'benteng', 'sy', 'pribadi', 'kagum', 'taruh', 'hormat', 'hadap', 'tokoh', 'pahlawan', 'bangsa', 'sayang', 'harga', 'hadap', 'sejarah', 'rendah', 'coret', 'pelihara', 'museum', 'ruang', 'sejarah', 'muas', 'benteng', 'kantor', 'salah', 'instansi', 'perintah', 'seringkali', 'kendara', 'milik', 'orang', 'kantor', 'tsb', 'parkir', 'area', 'benteng', 'rusak', 'pandang', 'sebal', 'lihat', 'lantai', 'asli', 'benteng', 'ganti', 'keramik', 'lantai', 'asli', 'tau', 'kokoh', 'tau', 'alas', 'lantai', 'ganti', 'alas', 'ganti', 'biar', 'kes', 'up', 'to', 'date', 'buah', 'putus', 'keliru', 'maaf', 'kasih', 'bintang', 'tingkat', 'kualitas', 'objek', 'sejarah', 'nilai', 'layak', 'bintang']",bangun sejati bangun milik nilai sejarah ajar juang sultan hasanuddin lawan jajah belanda ajar kisah pangeran diponegoro penjara belanda benteng sy pribadi kagum taruh hormat hadap tokoh pahlawan bangsa sayang harga hadap sejarah rendah coret pelihara museum ruang sejarah muas benteng kantor salah instansi perintah seringkali kendara milik orang kantor tsb parkir area benteng rusak pandang sebal lihat lantai asli benteng ganti keramik lantai asli tau kokoh tau alas lantai ganti alas ganti biar kes up to date buah putus keliru maaf kasih bintang tingkat kualitas objek sejarah nilai layak bintang
9,Saya mengunjungi salah satu situs peninggalan Belanda ini saat ada konser. Meski ada persiapan konser untunglah tetap buka. Arsitektur nya menarik sama seperti peninggalan Belanda di Indonesia pada umumnya. Ada museum nya juga dan hanya membayar 5000 rupiah untuk masuk. Spot menarik untuk berfoto juga banyak,"['unjung', 'salah', 'situs', 'tinggal', 'belanda', 'konser', 'konser', 'untung', 'buka', 'arsitektur', 'nya', 'tarik', 'tinggal', 'belanda', 'indonesia', 'museum', 'nya', 'bayar', 'rupiah', 'masuk', 'spot', 'tarik', 'foto']",unjung salah situs tinggal belanda konser konser untung buka arsitektur nya tarik tinggal belanda indonesia museum nya bayar rupiah masuk spot tarik foto
