0,"Tanggal 21 November 2021 saya dan beberapa rekan mengunjungi bugis waterpark, dan menurut saya ini adalah salah satu wahana air terbaik di Indonesia Timur, dari dulu hingga sekarang tetap menyenangkan menikmati akhir pekan bersama keluarga/pasangan/sahabat. Very recommended"
1,Kawasan wisata keluarga yang menyediakan berbagai macam permainan dengan kolam renang dan luncuran air serta water boom
2,"wahananya sekarang sdh lengkap.. tempat ini bikin anak-anak gak mau pulang.. hahaha.. mereka puas main air, walaupun mak bapaknya was-was harus ngawasin setiap detik kegiatan si anak g bisa meleng sedikit.. ngerii.. "
3,tempat ini sangat bagus buat kunjungan keluarga karena tempat ini alat hiburan untuk menyegarkan pikiran sejenak... dan tempat ini sangat luas
4,Alhamdulillah.. Wahana nya lengkap. Di lokasi yang terjangkau. Biaya yang terjangkau juga..  Lengkap dengan Kantin nya
5,"beberapa hari lalu sy beli tiket 8 org lewat travel online,setelah menempuh perjalanan cukup jauh ternyata wahananya tutup sampai selesai lebaran (tapi aneh tiket tetap jual scr online)...pernah pergi bln januari,secara keseluruhan wahana yg ditawarkan cukup mengasyikan dan yg top adalah kolam ombak,tapi sayang kolam ini hny dibuka setelah pukul 4"
6,"Bugis Water Park merupakan salah satu alternative untuk rekreasi bersama keluarga mengisih hari libur saya, timpat ini akan menghilang semua kepenatan dan kejenuhan, maen air dan yg lainNya."
7,Tempat yang sangat bagus untuk berekreasi bersama keluarga dan pasangan.... banyak permainan air dan suasananya yang asri dan bersih membuat tempat ini menjadi salah satu pilihan buat berkumpul bersama keluarga.....
8,"Let me know the fact (sorry for this inconvenience).. Wahana tempat bermain air; kotor, banyak ulat bulu (hati-hati yang bawa anak balita), dan terlalu banyak kaporit. Tempat bilas yang jauh dari wahana, sistem penyewaan handuk dll, yang menggunakan deposit. repot.. mending sewa langsung bayar. Life guard yang tidak konsisten, atau malah pilih kasih. sy liat beberapa pengunjung yang tidak memakai pakaian renang, diijinkan berenang. padahal sdh TERPAMPANG NYATA wajib menggunakan pakaian berenang jika akan berenang atau bermain air. prettt.."
9,"Yang suka main air ya wajib kesini, apalagi pas ada konser wah seru banget.. bisa nonton sambil main air"
0,"Agak kotor dan apakah boleh pengunjung masuk kolam dengan baju lengkap ?? kenapa tidak dilarang ?? ROKOK dimana-mana, heran orang beradab tapi kelakuan kampungan... woi pengunjung rata-rata anak kecil tapi orang merokok tetap dibiarkan?? SEHARUSNYA DIDALAM SEMUA AREA SUDAH DILARANG MEROKOK!!"
1,"Secara lokasi, Bugis Waterpark terletak tidak jauh dari pusat kota. sekitar 30menit jika tidak macet. Saya sudah beberapa kali datang ke BWP ini dan setiap datang pasti ada wahana baru lagi yang ditambahkan, sehingga semakin cocok dinikmati dari segala usia. Lokasi parkiran luas, tempat ganti yang bersih, dan pilihan makanan yang cukup lengkap. kekurangannya karena staff kurang ramah dan wahana tidak selalu dapat digunakan (hanya pada jam tertentu)"
2,"Bugis water park adalah salah satu ikon makassar untuk kunjungan rekreasi. Ini cocok untuk keluarga,bila anda keuangannya terbatas sebaiknya berkunjung di hari senin hingga jumat karena harganya lebih ekonomis dari hari weekend. Waktu kunjungan ideal adalah jam 9 pagi. Agar dapat merasakan semua wahana."
3,"jika anda ingin menikmati smua wahana.di sarankan untuk datang pagi pada saat pertama buka.karna wahana tidak di fungsikan secara bersamaan,jd kalo datang telat ad kemungkinan anda tidak dapat menikmati wahana yg sudah di aktifkan pada saat baru buka...jadi sangat rugi dngan harga yg sangat mahal tapi tidak bisa menikmati semua wahana karna wahan di fungsikan hanya beberapa jam saja"
4,"Senang kesini karena wahananya yang banyak dan fun ,apalg wahama barunya sawerigading dan ombak ombakk hehehe.Sayangnya ada petugas life guard ,yang kita tanyain ""mas udah bener belum posisi duduknya di ban begini( mau meluncur disalah satu wahana) dia dengan muka jutek jawab iyya turunmi ,OH MY GOD ""ini soal keselamatan kita loh,tpi petugasnya ogah ogahan"" .please manajemen koreksi ini ."
5,"waterpark terbesar di kota Makassar, fasilitas lengkap, dengan tema ""Budaya Bugis"" disana anda dapat melihat rumah adat Bugis berpadu dengan wahana air, ada wahana baru dimana berenang sambil diterpa ombak...pokoknya keren habis bro...I love Makassar"
6,"wahana terlengkap di indonesia timur, suasana teduh dan segar pada saat masuk...namun perlu di jaga dengan baik,soalnya masih ada tangan-tangan jahil mencuri dan mengambil barang milik orang. Tetapi dari segi wahana sdh lumayan."
7,susananya sangat bagus dekat alam all area bersih puas berlibur di sini  semua wahana bagus air kolamnya bersih makananx enak
