0,Bagus dan mall nya bersih tidak ramai juga nyaman kalau jalan jalan di trans dan banyak jajanan jajajan tg murah juga di jual
1,"Mall kerenMall paling keren, mewah dan terbaik di kota makassar. Sayangnya lagi ppkm jadi banyak tenan yang tutup hanya tenan makanan supermarket dan atm yang buka. Semoga corona segera berlalu agar bebas main dan belanja di tsm lagi"
2,"Mall dekat dari rumah keluarga, lahan parkir sangat luas baik outdoor dan indoor, tenant di dalam mall juga sangat banyak"
3,Hotel sangat panas saat saya berkunjung.Trans studio nya tutup!Mohon di bantu pembenaan di mall.😊😊😊😊😊😊😊😊😊😇😇😊
4,"TSM terdapat banyak jenis hiburan yang menarik, dan paling saya suka adalah zona Dunia Lain dan Kincir Angin"
5,Berkunjung ke TSM adalah hal wajib yang dilakukan saat weekend. Banyak sekali pilihan tenant. Dan tenantnya rapi dan teratur. Misalnya pada lantai dasar semua diisi dengan tenant food. Sehingga membuat kita merasa lebih nyaman. Dan ini adalah satu-satunya mall di Makassar yang sangat dingin. Ini adalah salah satu hal pebting bagi saya. Karena ini membuat kita lebih asik saat berbelanja.  Parkirannya pun sangat luas.
6,Mall ini cukup lengkap dan luas.  Banyak pilihan toko dan tempat makan.  Untuk permainan tidak banyak. Trans studio sedang dalam proses renovasi sudah 2 bulan. Parkir masuk bayar tidak ada kompensasi untuk yang drop off.Lokasi di tanjung bunga.  Cukup ramai pengunjung 
7,"Trans Studio Makassar merupakan tempat hiburan dan pusat perbelanjaan yang ada di kota makassar. Tempatnya sangat mewah dan bersih. Banyak wahana yg bisa keluarga nikmati dan branded pusat perbelanjaannya juga banyak. Selagi anak anak bermain di Trans Studio, keluarga dapat juga berbelanja dengan merk ternama di tempat ini. terimakasih"
8,"Saya sudah lama tidak ke Jakarta karena sedang berada di Papua. Ketika ada waktu akhirnya saya main ke kota besar terdekat dari Papua yaitu Makassar. Saya ke mall ini dan salut karena semua yang saya butuhkan dan inginkan ada disini, seperti di Jakarta mulai dari shilin, nature republic, pancious dan sebagainya"
9,"Pengalaman saya saat ke trans studio lebih tepatnya di thempark saya sangat menyukai permainan disana semuanya sangat seru dan menantang, disana tidak hanya permaiman dewasa saja tetapi ada permainan untuk amak kecil jadi semua kalangan bisa bermain disana dari anak kecil hingga orang tua. Jadi disana tempat paling seru, dan catatan 1 kata orang2 ada beberala wahana yg rusak mohom diperbaiki agar kami tidak kecewa saat masul di thempark nya. Terima kasih"
0,"yeaay..cuaca panas dan butuh refreshing. mari kita ngadem sekalian bermain wahana. jangan di hari libur kalo ga pengen antrian lama, lebih asik saat jam makan siang trus mampir.hahaha.. refreshing di sela kerjaan bersama teman kantor"
1,Merupakan salah satu tempat weekend di Makassar sama halnya pantai Losari di sini terdapat berbagai wahana permainan sehingga sangat cocok untuk berlibur
2,Tempat yang tepat buat mengisi libutan. Beragam permainan buat keluarga pokokeee lengkap. Wahananya juga hebat. Yang mau belanja juga ada tempatnya . Gak rugi deh berkunjung ke sini ... mantap jiwa
3,"Tempatnya sejuk, nyaman,  dan menyenangkan. Kami menikmatinya dan beta berlama-lama di sana. Dan akan ke sini lagi di liburan berikutnya"
4,Mallnya sangat bagus karena terhubung dengan trans studio tapi sayang tiket masuk sangat mahal dengan wahana yang sedikit sekali
5,enak bget x.o suki di trans studio makassar jalan jalan sekalian makan di x.o suki bersama keluarga dan teman teman dekat dan banyak promo lagi
6,Kesibukan warga kota menyebabkan pilihan tempat rekreasi jadi terbatas. Kehadiran Trans Mall memberikan pilihan alternatif yang sangat tepat. Ketersediaan banyak sarana membuatnya unggul dalam suguhan alternatif hiburan dan liburan bagi keluarga. Nyaman dipakai bersantai bersama kolega.
7,Trans studio makassar adlh mall terbesar di makassar di lengkapi dengan wahana permainan.  Pusat perbelanjaan yg lengkap dan resto2nya byk
8,"Trans studio Makassar merupakan mall terbesar di Makassar dan terletak di lokasi strategis. Di dalam mall terdapat berbagai toko makanan dan minuman, supermarket, tempat jualan baju dan sebagainya serta terdapat tempat permainan indoor terbesar di Indonesia Timur. Tiket masuk cukup mahal namun bisa di pakai di semua wahana yang ada, jadi kalau datang hendaknya dari pagi hari supaya bisa bermain sepuasnya. Merupakan alternatif rekreasi bersama keluarga tercinta"
